Text,Label
"""I need to schedule an appointmet.""","""appointment_scheduling"""
"""Can I book a checkup?""","""appointment_scheduling"""
"""I want to see my doctor.""","""appointment_scheduling"""
"""My son is having an emergency.""","""medical_emergency"""
"""I think I am having a hear attack.""","""medical_emergency"""
"""Can I get a flu shot?""","""general_inquiry"""
"""I want a refill for my prescription.""","""prescription_refill"""
"""Do you take Blue Shield?""","""insurance_coverage_inquiry"""
"""Hello, I want to check if my insurance is accepted.""","""insurance_coverage_inquiry"""
"""What are your hours?""","""general_inquiry"""
"""I need to renew my medication.""","""prescription_refill"""
"""I was overcharged on my bill.""","""billing_inquiry"""
"""I don't understand the bill I received.""","""billing_inquiry"""
"""I have a question about my insurance.""","""insurance_coverage_inquiry"""
"""Can I get a receipt for my last visit?""","""billing_inquiry"""
"""When is my next appointment?""","""appointment_scheduling"""
"""I want to see a pediatrcian.""","""appointment_scheduling"""
"""Is Dr. Wang available tomorrow?""","""appointment_scheduling"""
"""I need to reschedule my appointment.""","""appointment_scheduling"""
"""How soon can I get in for a physical?""","""appointment_scheduling"""
"""Do you have any available appointments this afternoon?""","""appointment_scheduling"""
"""I am out of asthma medication.""","""prescription_refill"""
"""Can I get my refill at Walgreens?""","""prescription_refill"""
"""The pharmacy told me my prescription is expired.""","""prescription_refill"""
"""Can I get a new prescription?""","""prescription_refill"""
"""I never got my refill.""","""prescription_refill"""
"""Why did I get charged for these lab tests?""","""billing_inquiry"""
"""I would like an itemized bill.""","""billing_inquiry"""
"""The billing code seems incorrect.""","""billing_inquiry"""
"""I think I was charged twice.""","""billing_inquiry"""
"""I already paid this bill.""","""billing_inquiry"""
"""Is this procedure covered by my insurance?""","""insurance_coverage_inquiry"""
"""Do you accept Medi-Cal?""","""insurance_coverage_inquiry"""
"""Will my copay be the same?""","""insurance_coverage_inquiry"""
"""I switched plans.""","""insurance_coverage_inquiry"""
"""Are you in-network?""","""insurance_coverage_inquiry"""
"""How much will it cost after insurance?""","""insurance_coverage_inquiry"""
"""My daughter has a very high fever.""","""medical_emergency"""
"""I think I broke my arm.""","""medical_emergency"""
"""My friend is having chest pain.""","""medical_emergency"""
"""I need to talk to a nurse immediately.""","""medical_emergency"""
"""Should I go to the emergency room or urgent care?""","""medical_emergency"""
"""Where are you located?""","""general_inquiry"""
"""Do you have parking?""","""general_inquiry"""
"""Are you open on weekends?""","""general_inquiry"""
"""Do you offer telehealth visits?""","""general_inquiry"""
"""Do you speak Spanish?""","""general_inquiry"""
"""Can I request my medical records?""","""general_inquiry"""
"""How do I access my patient portal?""","""general_inquiry"""
"""Which doctors are accepting new patients?""","""general_inquiry"""